"innova","gtoinn","comp_prod","ing_tot","pol_ind"
0,0.1,3.03030290988961,2.5,0
0,0.1,3.03030290988961,2.5,0
0,0.1,3.03030290988961,2.5,1
0,0.1,3.03030290988961,2.5,0
1,0.1,4.545454477722,2.5,0
0,0.1,3.03030290988961,2.5,0
0,0.1,3.03030290988961,2.5,0
0,0.06,1.81818181818182,2.5,0
0,0.1,3.03030290988961,2.5,1
1,0.05,1.81818181818182,2.5,0
0,0.1,3.03030290988961,2.5,0
0,0.1,3.03030290988961,2.5,0
0,0.1,4.09091317518599,2.25,0
1,0.1,4.09091317518599,2.25,0
0,0.1,2.72727557204283,2.25,0
0,0.075,4.09091317518599,2.25,0
0,0.1,3.03030290988961,2.5,0
0,0.1,3.03030290988961,2.5,0
0,0.0875,2.272727238861,2.5,0
1,0.05,1.36363571340419,2.25,0
1,0.03,0.909090909090909,2.25,1
0,0.1,2.72727557204283,2.25,0
0,0.175,4.09091317518599,2.25,1
0,0.175,4.09091317518599,2.25,0
0,0.05,1.63636232939738,2.25,1
1,0.05,1.36363571340419,2.25,1
0,0.116666669845581,2.72727557204283,2.25,1
1,0.1,4.09091317518599,2.25,0
0,0.0680000257492065,1.81818181818182,2.5,0
0,0.15,4.545454477722,2.5,0
0,0.0533333349227905,1.51515145494481,2.5,0
0,0.15,4.09091317518599,2.25,0
0,0.15,4.09091317518599,2.25,0
0,0.1,3.03030290988961,2.5,0
0,0.15,4.545454477722,2.5,0
0,0.05,1.36363571340419,2.25,0
0,0.1,3.03030290988961,2.5,0
0,0.05,2.272727238861,2.5,0
0,0.0833333301544189,2.72727557204283,2.25,0
0,0.1,4.545454477722,2.5,0
0,0.25,9.09090895544399,2.5,0
0,0.125,4.545454477722,2.5,0
0,0.125,4.545454477722,2.5,0
0,0.25,9.09090895544399,2.5,0
0,0.25,9.09090895544399,2.5,0
0,0.0625,2.272727238861,2.5,0
0,0.05,1.36363571340419,2.25,1
0,0.05,1.81818181818182,2.5,1
0,0.25,9.09090895544399,2.5,0
0,0.0666666650772095,3.03030290988961,2.5,0
0,0.05,2.272727238861,2.5,0
0,0.1,4.545454477722,2.5,0
0,0.1,4.545454477722,2.5,0
0,0.1,4.545454477722,2.5,0
0,0.25,9.09090895544399,2.5,0
0,0.125,4.545454477722,2.5,0
0,0.15,4.545454477722,2.5,0
0,0.05,1.51515145494481,2.5,0
0,0.15,4.09091317518599,2.25,0
0,0.116666669845581,3.03030290988961,2.5,1
0,0.1,2.72727557204283,2.25,0
0,0.1,4.09091317518599,2.25,0
0,0.15,4.545454477722,2.5,0
0,0.1,3.03030290988961,2.5,0
0,0.15,4.09091317518599,2.25,1
0,0.125,4.545454477722,2.5,0
0,0.15,4.09091317518599,2.25,0
0,0.125,4.545454477722,2.5,0
0,0.0540000009536743,1.81818181818182,2.5,0
0,0.0540000009536743,1.81818181818182,2.5,0
1,0.07,3.03030290988961,2.5,0
0,0.0625,2.272727238861,2.5,0
0,0.0833333301544189,3.03030290988961,2.5,1
0,0.1,3.03030290988961,2.5,0
0,0.175,4.09091317518599,2.25,1
0,0.05,1.01010103685955,2.5,1
0,0.175,4.545454477722,2.5,0
0,0.2,4.545454477722,2.5,0
0,0.1,2.04545658759299,2.25,0
0,0.08,1.81818181818182,2.5,0
0,0.2,4.545454477722,2.5,0
0,0.1,2.272727238861,2.5,0
0,0.2,4.545454477722,2.5,0
1,0.1,2.72727557204283,2.25,0
0,0.1,2.272727238861,2.5,0
1,0.06,1.81818181818182,2.5,0
0,0.1,2.04545658759299,2.25,0
0,0.1,2.04545658759299,2.25,1
0,0.1,2.04545658759299,2.25,0
1,0.0583333349227905,1.51515145494481,2.5,0
1,0.1,2.72727557204283,2.25,0
0,0.1,2.272727238861,2.5,1
0,0.1,2.272727238861,2.5,0
0,0.2,4.545454477722,2.5,0
0,0.1,2.272727238861,2.5,1
0,0.1,4.545454477722,2.5,0
0,0.09,1.81818181818182,2.5,0
0,0.225,4.09091317518599,2.25,1
1,0.1,2.72727557204283,2.25,0
0,0.1125,2.04545658759299,2.25,1
0,0.225,4.09091317518599,2.25,0
0,0.15,2.72727557204283,2.25,0
0,0.1125,2.272727238861,2.5,0
0,0.15,2.72727557204283,2.25,0
0,0.08,1.81818181818182,2.5,0
1,0.0875,2.272727238861,2.5,0
0,0.0575,1.16883079063484,2.25,1
0,0.11,2.272727238861,2.5,1
0,0.0625,1.16883079063484,2.25,1
1,0.06,1.36363571340419,2.25,0
0,0.08,2.04545658759299,2.25,0
0,0.1,3.03030290988961,2.5,0
0,0.1,2.272727238861,2.5,0
0,0.1,2.272727238861,2.5,0
1,0.0833333301544189,2.72727557204283,2.25,0
0,0.125,4.09091317518599,2.25,1
0,0.0740000009536743,1.81818181818182,2.5,0
0,0.1,2.272727238861,2.5,0
0,0.1,2.272727238861,2.5,0
1,0.035,0.909090909090909,2.5,1
1,0.1,2.72727557204283,2.25,0
1,0.0580000066757202,1.81818181818182,2.5,1
1,0.0875,2.04545658759299,2.25,0
0,0.1,4.545454477722,2.5,0
0,0.0616666650772095,1.51515145494481,2.5,0
0,0.1,2.272727238861,2.5,0
0,0.175,4.545454477722,2.5,0
0,0.175,4.545454477722,2.5,0
1,0.0833333301544189,2.72727557204283,2.75,0
0,0.116666669845581,3.03030290988961,2.5,0
1,0.1,4.545454477722,2.5,0
1,0.1,3.03030290988961,2.5,0
0,0.1,2.272727238861,2.5,0
0,0.133333330154419,3.03030290988961,2.5,0
1,0.1,2.72727557204283,2.25,0
1,0.1,2.72727557204283,2.25,0
1,0.05,1.51515145494481,2.5,0
0,0.2,4.545454477722,2.5,0
1,0.0583333349227905,1.51515145494481,2.5,1
1,0.1,2.72727557204283,2.25,0
0,0.1,2.272727238861,2.5,1
0,0.1,2.272727238861,2.5,0
0,0.1,2.72727557204283,2.25,1
0,0.1,2.272727238861,2.5,0
0,0.1,2.72727557204283,2.25,1
1,0.1,4.09091317518599,2.25,0
0,0.1,2.04545658759299,2.25,0
0,0.1,2.272727238861,2.5,0
0,0.1,2.04545658759299,2.25,1
0,0.133333330154419,2.72727557204283,2.25,0
0,0.1,2.72727557204283,2.25,0
0,0.1,4.545454477722,2.5,0
1,0.1,1.63636232939738,2.25,0
1,0.108333330154419,1.21212121212121,2,1
0,0.183333339691162,2.42424242424242,2,1
1,0.233333339691162,2.42424242424242,2,0
1,0.1,1.02272712794897,2.25,1
1,0.14,1.63636232939738,2.25,0
0,0.2125,1.81818181818182,2,0
0,0.2125,1.81818181818182,2,0
1,0.0925,1.03896103896104,2,1
0,0.4,4.09091317518599,2.25,0
1,0.075,0.909090909090909,2,1
1,0.25,2.72727557204283,2.25,1
0,0.1,1.02272712794897,2.25,1
